#JD                    MAG              ERR               SURVEY Filter
2457389.843479999807  -0.004000000000   0.023000000000    ASAS-SN V
2457391.913800000213   0.013000000000   0.022000000000    ASAS-SN V
2457391.915029999800   0.022000000000   0.022000000000    ASAS-SN V
2457391.916280000005   0.002000000000   0.022000000000    ASAS-SN V
2457398.811720000114   0.049000000000   0.022000000000    ASAS-SN V
2457398.812959999777   0.044000000000   0.022000000000    ASAS-SN V
2457398.814209999982   0.004000000000   0.022000000000    ASAS-SN V
2457402.908410000149  -0.019000000000   0.022000000000    ASAS-SN V
2457402.909669999965   0.015000000000   0.023000000000    ASAS-SN V
2457405.810450000223   0.071000000000   0.032000000000    ASAS-SN V
2457405.811689999886  -0.038000000000   0.029000000000    ASAS-SN V
2457405.812940000091   0.006000000000   0.029000000000    ASAS-SN V
2457411.754000000190  -0.144000000000   0.035000000000    ASAS-SN V
2457411.755260000005   0.027000000000   0.039000000000    ASAS-SN V
2457411.756510000210  -0.019000000000   0.039000000000    ASAS-SN V
2457413.874299999792  -0.058000000000   0.029000000000    ASAS-SN V
2457413.875549999997   0.019000000000   0.033000000000    ASAS-SN V
2457413.876800000202  -0.017000000000   0.031000000000    ASAS-SN V
2457415.855969999917  -0.061000000000   0.026000000000    ASAS-SN V
2457415.857220000122  -0.024000000000   0.026000000000    ASAS-SN V
2457415.858469999861  -0.020000000000   0.026000000000    ASAS-SN V
2457416.734100000001   0.028000000000   0.022000000000    ASAS-SN V
2457416.735400000121   0.016000000000   0.023000000000    ASAS-SN V
2457416.736639999785  -0.018000000000   0.022000000000    ASAS-SN V
2457419.856600000057  -0.031000000000   0.022000000000    ASAS-SN V
2457419.857849999797   0.026000000000   0.022000000000    ASAS-SN V
2457419.859089999925  -0.016000000000   0.022000000000    ASAS-SN V
2457421.851569999941  -0.003000000000   0.025000000000    ASAS-SN V
2457421.852820000146   0.052000000000   0.024000000000    ASAS-SN V
2457421.854069999885   0.012000000000   0.022000000000    ASAS-SN V
2457422.838380000088  -0.005000000000   0.023000000000    ASAS-SN V
2457422.839629999828   0.026000000000   0.024000000000    ASAS-SN V
2457422.840890000109  -0.044000000000   0.021000000000    ASAS-SN V
2457423.862480000127   0.025000000000   0.031000000000    ASAS-SN V
2457423.863390000071  -0.002000000000   0.029000000000    ASAS-SN V
2457423.864289999940   0.001000000000   0.030000000000    ASAS-SN V
2457428.840040000156   0.022000000000   0.023000000000    ASAS-SN V
2457428.841299999971   0.091000000000   0.024000000000    ASAS-SN V
2457428.842540000100   0.013000000000   0.022000000000    ASAS-SN V
2457437.824959999882   0.001000000000   0.034000000000    ASAS-SN V
2457437.826220000163   0.026000000000   0.038000000000    ASAS-SN V
2457437.827459999826  -0.006000000000   0.037000000000    ASAS-SN V
2457440.812400000170   0.108000000000   0.043000000000    ASAS-SN V
2457440.813649999909  -0.041000000000   0.038000000000    ASAS-SN V
2457440.814900000114  -0.055000000000   0.041000000000    ASAS-SN V
2457441.728569999803  -0.075000000000   0.035000000000    ASAS-SN V
2457441.729840000160  -0.006000000000   0.033000000000    ASAS-SN V
2457441.731099999975  -0.031000000000   0.033000000000    ASAS-SN V
2457444.763369999826   0.019000000000   0.024000000000    ASAS-SN V
2457444.764620000031   0.018000000000   0.022000000000    ASAS-SN V
2457444.765850000083   0.049000000000   0.024000000000    ASAS-SN V
2457447.771379999816  -0.037000000000   0.022000000000    ASAS-SN V
2457447.772630000021   0.006000000000   0.022000000000    ASAS-SN V
2457447.773880000226   0.018000000000   0.023000000000    ASAS-SN V
2457449.784990000073   0.047000000000   0.024000000000    ASAS-SN V
2457449.786239999812  -0.010000000000   0.022000000000    ASAS-SN V
2457449.787490000017  -0.003000000000   0.024000000000    ASAS-SN V
2457450.758789999876   0.028000000000   0.024000000000    ASAS-SN V
2457450.760040000081   0.007000000000   0.024000000000    ASAS-SN V
2457450.761280000210  -0.001000000000   0.022000000000    ASAS-SN V
2457451.779779999983  -0.067000000000   0.021000000000    ASAS-SN V
2457451.781030000187  -0.038000000000   0.021000000000    ASAS-SN V
2457451.782269999851  -0.006000000000   0.022000000000    ASAS-SN V
2457453.772080000024   0.039000000000   0.023000000000    ASAS-SN V
2457453.773330000229   0.025000000000   0.024000000000    ASAS-SN V
2457453.774590000045   0.008000000000   0.023000000000    ASAS-SN V
2457454.749780000187   0.006000000000   0.023000000000    ASAS-SN V
2457454.751029999927  -0.029000000000   0.021000000000    ASAS-SN V
2457454.752270000055  -0.001000000000   0.023000000000    ASAS-SN V
2457466.726069999859   0.069000000000   0.046000000000    ASAS-SN V
2457466.726970000193  -0.018000000000   0.045000000000    ASAS-SN V
2457466.727890000213  -0.088000000000   0.042000000000    ASAS-SN V
2457606.122150000185  -0.026000000000   0.031000000000    ASAS-SN V
2457606.123410000000   0.076000000000   0.034000000000    ASAS-SN V
2457606.124660000205   0.086000000000   0.037000000000    ASAS-SN V
2457607.101679999847   0.015000000000   0.025000000000    ASAS-SN V
2457607.102940000128   0.044000000000   0.026000000000    ASAS-SN V
2457607.104189999867   0.024000000000   0.025000000000    ASAS-SN V
2457610.108140000142  -0.047000000000   0.024000000000    ASAS-SN V
2457610.109399999958  -0.023000000000   0.024000000000    ASAS-SN V
