# BJD-2454833, Blended_Flux, Deblended_Flux, Error
2.989849203048084746e+03 1.001016530135055316e+00 1.002033060270110409e+00 1.129487174284200742e-04
2.989869635303606628e+03 1.000937804046468926e+00 1.001875608092937853e+00 1.129487174284200742e-04
2.989890067358661327e+03 1.001357034406465285e+00 1.002714068812930348e+00 1.129487174284200742e-04
2.989910499513251125e+03 1.001444931625325330e+00 1.002889863250650659e+00 1.129487174284200742e-04
2.989930931766903086e+03 1.001583009424984017e+00 1.003166018849967811e+00 1.129487174284200742e-04
2.989951363820095139e+03 1.001815125864266687e+00 1.003630251728533596e+00 1.129487174284200742e-04
2.989971795973280678e+03 1.002042901541931430e+00 1.004085803083862860e+00 1.129487174284200742e-04
2.989992228225542931e+03 1.002450089712651149e+00 1.004900179425302076e+00 1.129487174284200742e-04
2.990012660277338000e+03 1.002503526844885862e+00 1.005007053689771945e+00 1.129487174284200742e-04
2.990033092428668169e+03 1.002637362965248968e+00 1.005274725930497937e+00 1.129487174284200742e-04
2.990053524579525401e+03 1.002589791048673629e+00 1.005179582097347479e+00 1.129487174284200742e-04
2.990073956729458587e+03 1.003037589249688777e+00 1.006075178499377554e+00 1.129487174284200742e-04
2.990094388879384496e+03 1.003088542514052550e+00 1.006177085028105100e+00 1.129487174284200742e-04
2.990114821028386359e+03 1.002837196972140354e+00 1.005674393944280487e+00 1.129487174284200742e-04
2.990135253176922561e+03 1.002546503756174712e+00 1.005093007512349645e+00 1.129487174284200742e-04
2.990155685325458762e+03 1.002707716285917927e+00 1.005415432571835854e+00 1.129487174284200742e-04
2.990176117573057127e+03 1.002529024673473490e+00 1.005058049346946758e+00 1.129487174284200742e-04
2.990196549620195583e+03 1.002572749093213478e+00 1.005145498186426956e+00 1.129487174284200742e-04
2.990216981766396202e+03 1.002625133457943019e+00 1.005250266915886037e+00 1.129487174284200742e-04
2.990237414012604859e+03 1.002580059883941832e+00 1.005160119767883442e+00 1.129487174284200742e-04
2.990257846058346331e+03 1.002587150819113759e+00 1.005174301638227519e+00 1.129487174284200742e-04
2.990278278203157242e+03 1.002434340909285515e+00 1.004868681818571030e+00 1.129487174284200742e-04
2.990298710447495978e+03 1.002014420897374691e+00 1.004028841794749605e+00 1.129487174284200742e-04
2.990319142491840466e+03 1.001939489928559190e+00 1.003878979857118159e+00 1.129487174284200742e-04
2.990339574635247118e+03 1.001680800632539281e+00 1.003361601265078340e+00 1.129487174284200742e-04
2.990360006878196145e+03 1.001847323415747226e+00 1.003694646831494230e+00 1.129487174284200742e-04
2.990380438920212328e+03 1.001526320100174949e+00 1.003052640200349677e+00 1.129487174284200742e-04
2.990400871062229271e+03 1.001451662371599216e+00 1.002903324743198432e+00 1.129487174284200742e-04
2.990421303303774039e+03 1.001242136144321782e+00 1.002484272288643563e+00 1.129487174284200742e-04
2.990441735344393237e+03 1.001200983300611913e+00 1.002401966601223604e+00 1.129487174284200742e-04
2.990462167585006682e+03 1.001184075842190158e+00 1.002368151684380537e+00 1.129487174284200742e-04
2.990482599724695319e+03 1.001186606313023031e+00 1.002373212626046284e+00 1.129487174284200742e-04
2.990503031863918295e+03 1.000842988607111961e+00 1.001685977214223922e+00 1.129487174284200742e-04
2.990523464002668334e+03 1.000821228491121762e+00 1.001642456982243523e+00 1.129487174284200742e-04
2.990543896140959987e+03 1.000793446105570750e+00 1.001586892211141500e+00 1.129487174284200742e-04
2.990564328278785979e+03 1.000695129045545917e+00 1.001390258091091834e+00 1.129487174284200742e-04
2.990584760416139034e+03 1.000889078152484846e+00 1.001778156304969691e+00 1.129487174284200742e-04
2.990605192552568042e+03 1.000900891950346150e+00 1.001801783900692300e+00 1.129487174284200742e-04
2.990625624688997050e+03 1.001079136810197889e+00 1.002158273620395779e+00 1.129487174284200742e-04
2.990646056924488221e+03 1.000940699880078943e+00 1.001881399760157887e+00 1.129487174284200742e-04
2.990666488959519484e+03 1.000973054492529490e+00 1.001946108985058981e+00 1.129487174284200742e-04
2.990686921094085847e+03 1.000934804060191308e+00 1.001869608120382615e+00 1.129487174284200742e-04
2.990707353328180034e+03 1.001077874343403229e+00 1.002155748686806458e+00 1.129487174284200742e-04
2.990727785361814313e+03 1.001039417553471811e+00 1.002078835106943622e+00 1.129487174284200742e-04
2.990748217494983692e+03 1.001090236820241230e+00 1.002180473640482461e+00 1.129487174284200742e-04
2.990768649727680895e+03 1.001210288373428625e+00 1.002420576746857250e+00 1.129487174284200742e-04
2.990789081759452529e+03 1.001286902647964716e+00 1.002573805295929432e+00 1.129487174284200742e-04
2.990809513891224924e+03 1.001656902436761198e+00 1.003313804873522397e+00 1.129487174284200742e-04
2.990829946022058721e+03 1.001262479971041675e+00 1.002524959942083349e+00 1.129487174284200742e-04
2.990850378152434132e+03 1.001043395760280452e+00 1.002086791520560904e+00 1.129487174284200742e-04
2.990870810282809543e+03 1.000851937445372375e+00 1.001703874890744750e+00 1.129487174284200742e-04
2.990891242412246356e+03 1.000839916844005639e+00 1.001679833688011279e+00 1.129487174284200742e-04
2.990911674541224784e+03 1.000539364196660452e+00 1.001078728393320905e+00 1.129487174284200742e-04
2.990932106669271889e+03 1.000873436465155031e+00 1.001746872930310062e+00 1.129487174284200742e-04
2.990952538797311718e+03 1.001152772666635382e+00 1.002305545333270764e+00 1.129487174284200742e-04
2.990972970924893161e+03 1.001160476386234066e+00 1.002320952772468132e+00 1.129487174284200742e-04
2.990993403051543282e+03 1.000987290594476775e+00 1.001974581188953550e+00 1.129487174284200742e-04
2.991013835278186889e+03 1.000687845104358376e+00 1.001375690208716751e+00 1.129487174284200742e-04
2.991034267303904926e+03 1.000325724845026798e+00 1.000651449690053596e+00 1.129487174284200742e-04
2.991054699429158063e+03 1.000670148959303729e+00 1.001340297918607458e+00 1.129487174284200742e-04
2.991075131653939025e+03 1.000904543326750273e+00 1.001809086653500547e+00 1.129487174284200742e-04
2.991095563678260078e+03 1.001121578687208524e+00 1.002243157374417049e+00 1.129487174284200742e-04
2.991115995802116231e+03 1.001314302680885948e+00 1.002628605361771896e+00 1.129487174284200742e-04
2.991136428025500209e+03 1.001231188113041792e+00 1.002462376226083585e+00 1.129487174284200742e-04
2.991156860048424278e+03 1.001206231922767032e+00 1.002412463845534063e+00 1.129487174284200742e-04
2.991177292170417786e+03 1.001210260059816504e+00 1.002420520119633007e+00 1.129487174284200742e-04
2.991197724392404780e+03 1.001575451321785382e+00 1.003150902643570763e+00 1.129487174284200742e-04
2.991218156413466204e+03 1.002043814932623400e+00 1.004087629865246800e+00 1.129487174284200742e-04
2.991238588534528390e+03 1.001393616711364176e+00 1.002787233422728352e+00 1.129487174284200742e-04
2.991259020754652738e+03 1.001266746272849950e+00 1.002533492545699900e+00 1.129487174284200742e-04
2.991279452774317178e+03 1.000862232615946867e+00 1.001724465231893735e+00 1.129487174284200742e-04
2.991299884893516719e+03 1.000728749029208942e+00 1.001457498058417883e+00 1.129487174284200742e-04
2.991320317112244084e+03 1.000698154407950069e+00 1.001396308815900138e+00 1.129487174284200742e-04
2.991340749230512301e+03 1.000785231129470265e+00 1.001570462258940530e+00 1.129487174284200742e-04
2.991361181247848435e+03 1.000835680947425255e+00 1.001671361894850509e+00 1.129487174284200742e-04
2.991381613465178816e+03 1.000646358478497033e+00 1.001292716956994067e+00 1.129487174284200742e-04
2.991402045581584389e+03 1.000846041551568977e+00 1.001692083103137954e+00 1.129487174284200742e-04
2.991422477697989962e+03 1.000598889312709572e+00 1.001197778625419144e+00 1.129487174284200742e-04
2.991463341928931186e+03 1.000712902469488075e+00 1.001425804938976150e+00 1.129487174284200742e-04
2.991483774143474875e+03 1.000851190627959131e+00 1.001702381255918262e+00 1.129487174284200742e-04
2.991504206157544104e+03 1.001151690354700419e+00 1.002303380709400837e+00 1.129487174284200742e-04
2.991524638271155709e+03 1.000754440101282672e+00 1.001508880202565344e+00 1.129487174284200742e-04
2.991545070384301653e+03 1.000622890667315579e+00 1.001245781334631157e+00 1.129487174284200742e-04
2.991565502496508998e+03 1.000930161190070500e+00 1.001860322380141000e+00 1.129487174284200742e-04
2.991585934608723619e+03 1.001154239243022381e+00 1.002308478486044763e+00 1.129487174284200742e-04
2.991606366720472579e+03 1.001199047975438905e+00 1.002398095950877810e+00 1.129487174284200742e-04
2.991626798831282940e+03 1.000791978936050430e+00 1.001583957872100861e+00 1.129487174284200742e-04
2.991647230842099816e+03 1.000367008603782359e+00 1.000734017207564719e+00 1.129487174284200742e-04
2.991667663051979616e+03 1.000253828752482033e+00 1.000507657504964065e+00 1.129487174284200742e-04
2.991688095161400270e+03 1.000291545216895450e+00 1.000583090433790900e+00 1.129487174284200742e-04
2.991708527270355262e+03 1.000292092149015044e+00 1.000584184298030088e+00 1.129487174284200742e-04
2.991728959378844593e+03 1.000271919612861549e+00 1.000543839225722875e+00 1.129487174284200742e-04
2.991749391486860986e+03 9.998728045695778333e-01 9.997456091391556665e-01 1.129487174284200742e-04
2.991769823594418995e+03 9.994458239250199050e-01 9.988916478500398100e-01 1.129487174284200742e-04
2.991790255701504066e+03 9.993059683923170011e-01 9.986119367846340023e-01 1.129487174284200742e-04
2.991810687808130751e+03 9.991343527699959592e-01 9.982687055399919185e-01 1.129487174284200742e-04
2.991831119913826114e+03 9.986452426211539501e-01 9.972904852423079003e-01 1.129487174284200742e-04
2.991851552119514963e+03 9.987576869413056224e-01 9.975153738826112448e-01 1.129487174284200742e-04
2.991871984124278242e+03 9.982733268218506595e-01 9.965466536437013190e-01 1.129487174284200742e-04
2.991892416229042283e+03 9.981038850577896859e-01 9.962077701155793719e-01 1.129487174284200742e-04
2.991912848432868486e+03 9.980838284939151928e-01 9.961676569878303855e-01 1.129487174284200742e-04
2.991933280436234782e+03 9.981157462251905033e-01 9.962314924503810065e-01 1.129487174284200742e-04
2.991953712539136177e+03 9.978987460636759010e-01 9.957974921273518021e-01 1.129487174284200742e-04
2.991974144741565397e+03 9.977668039637486164e-01 9.955336079274972327e-01 1.129487174284200742e-04
2.991994576743534708e+03 9.975408038491720975e-01 9.950816076983441949e-01 1.129487174284200742e-04
2.992015008845039119e+03 9.974750129371705576e-01 9.949500258743411152e-01 1.129487174284200742e-04
2.992035441046071355e+03 9.975044826774164264e-01 9.950089653548328528e-01 1.129487174284200742e-04
2.992055873046178021e+03 9.971822962780306776e-01 9.943645925560613552e-01 1.129487174284200742e-04
2.992076305146285449e+03 9.970080751051633161e-01 9.940161502103266322e-01 1.129487174284200742e-04
2.992096737345920701e+03 9.969877022164060909e-01 9.939754044328121818e-01 1.129487174284200742e-04
2.992117169344630383e+03 9.970196014358152503e-01 9.940392028716305006e-01 1.129487174284200742e-04
2.992137601442875166e+03 9.970917521436983844e-01 9.941835042873967687e-01 1.129487174284200742e-04
2.992158033641113434e+03 9.977281165162960042e-01 9.954562330325920083e-01 1.129487174284200742e-04
2.992178465738426894e+03 9.977686150429970757e-01 9.955372300859941515e-01 1.129487174284200742e-04
2.992198897735273931e+03 9.977216992689340591e-01 9.954433985378681182e-01 1.129487174284200742e-04
2.992219329931649554e+03 9.976004087516729957e-01 9.952008175033459914e-01 1.129487174284200742e-04
2.992239762027566030e+03 9.978114793731375221e-01 9.956229587462750441e-01 1.129487174284200742e-04
2.992260194023016084e+03 9.979327132316501148e-01 9.958654264633002295e-01 1.129487174284200742e-04
2.992280626217994723e+03 9.984789527230852890e-01 9.969579054461705780e-01 1.129487174284200742e-04
2.992301058312048553e+03 9.989377091034574718e-01 9.978754182069149437e-01 1.129487174284200742e-04
2.992321490306101623e+03 9.994104779575322395e-01 9.988209559150644790e-01 1.129487174284200742e-04
2.992341922499683278e+03 9.994358865533248260e-01 9.988717731066496519e-01 1.129487174284200742e-04
2.992362354592340125e+03 9.995697802339731375e-01 9.991395604679462750e-01 1.129487174284200742e-04
2.992382786584996211e+03 9.999523801794401034e-01 9.999047603588802069e-01 1.129487174284200742e-04
2.992403218776715221e+03 1.000446543092479601e+00 1.000893086184959424e+00 1.129487174284200742e-04
2.992423650767974323e+03 1.000612615592252563e+00 1.001225231184505349e+00 1.129487174284200742e-04
2.992444082859234186e+03 1.000654206167292282e+00 1.001308412334584563e+00 1.129487174284200742e-04
2.992464515049556212e+03 1.000734450149888932e+00 1.001468900299777642e+00 1.129487174284200742e-04
2.992484947039418330e+03 1.000766913643590161e+00 1.001533827287180545e+00 1.129487174284200742e-04
2.992505379128815548e+03 1.000976026156418452e+00 1.001952052312836683e+00 1.129487174284200742e-04
2.992525811317740590e+03 1.001397768728743198e+00 1.002795537457486397e+00 1.129487174284200742e-04
2.992546243406206486e+03 1.001187429492403691e+00 1.002374858984807382e+00 1.129487174284200742e-04
2.992566675393740297e+03 1.001536461583344639e+00 1.003072923166689279e+00 1.129487174284200742e-04
2.992587107581268356e+03 1.001623852403475290e+00 1.003247704806950580e+00 1.129487174284200742e-04
2.992607539668337267e+03 1.001388371177461822e+00 1.002776742354923645e+00 1.129487174284200742e-04
2.992627971654474095e+03 1.001284472181613205e+00 1.002568944363226411e+00 1.129487174284200742e-04
2.992648403840605170e+03 1.002235096697498218e+00 1.004470193394996436e+00 1.129487174284200742e-04
2.992668835925811436e+03 1.003342097499097640e+00 1.006684194998195281e+00 1.129487174284200742e-04
2.992689268111018464e+03 1.002287491422651389e+00 1.004574982845302999e+00 1.129487174284200742e-04
2.992709700095285370e+03 1.001783020351469489e+00 1.003566040702938977e+00 1.129487174284200742e-04
2.992730132179094653e+03 1.001638127388792432e+00 1.003276254777584864e+00 1.129487174284200742e-04
2.992750564362439036e+03 1.001273352415510853e+00 1.002546704831021707e+00 1.129487174284200742e-04
2.992770996345774620e+03 1.000934535762555644e+00 1.001869071525111066e+00 1.129487174284200742e-04
2.992791428428186919e+03 1.000674838861908444e+00 1.001349677723816667e+00 1.129487174284200742e-04
2.992811860610134318e+03 1.000485740924935474e+00 1.000971481849870948e+00 1.129487174284200742e-04
2.992832292591607256e+03 1.000353560307584821e+00 1.000707120615169421e+00 1.129487174284200742e-04
2.992852724672156910e+03 1.000616768183417493e+00 1.001233536366834986e+00 1.129487174284200742e-04
2.992873156852707325e+03 1.003301281748633311e+00 1.006602563497266623e+00 1.129487174284200742e-04
2.992893588832783280e+03 1.002394907072150287e+00 1.004789814144300575e+00 1.129487174284200742e-04
2.992914020912401611e+03 1.001267973459471383e+00 1.002535946918942766e+00 1.129487174284200742e-04
2.992934453091089381e+03 1.000669877625226079e+00 1.001339755250452157e+00 1.129487174284200742e-04
2.992954885069768352e+03 1.000566102263527046e+00 1.001132204527054093e+00 1.129487174284200742e-04
2.992975317147524038e+03 1.000334378514624811e+00 1.000668757029249623e+00 1.129487174284200742e-04
2.992995749325280485e+03 1.000258586246220993e+00 1.000517172492441986e+00 1.129487174284200742e-04
2.993016181402097573e+03 1.000131508103272893e+00 1.000263016206545785e+00 1.129487174284200742e-04
2.993036613378455513e+03 1.000111269633618738e+00 1.000222539267237476e+00 1.129487174284200742e-04
2.993057045554349315e+03 1.000112786269665488e+00 1.000225572539330976e+00 1.129487174284200742e-04
2.993077477630235080e+03 1.000108937564810896e+00 1.000217875129621792e+00 1.129487174284200742e-04
2.993097909605196037e+03 1.000035384727564924e+00 1.000070769455129849e+00 1.129487174284200742e-04
2.993118341779692855e+03 1.000161557551852765e+00 1.000323115103705529e+00 1.129487174284200742e-04
2.993138773753715213e+03 1.000315200502267743e+00 1.000630401004535486e+00 1.129487174284200742e-04
2.993159205827279948e+03 1.000470367805227134e+00 1.000940735610454269e+00 1.129487174284200742e-04
2.993179638000379782e+03 1.000455679422916022e+00 1.000911358845832044e+00 1.129487174284200742e-04
2.993200069972539495e+03 1.000416508400624682e+00 1.000833016801249364e+00 1.129487174284200742e-04
2.993220502044707246e+03 1.000570081425516289e+00 1.001140162851032578e+00 1.129487174284200742e-04
2.993240934216410096e+03 1.000283149584897169e+00 1.000566299169794338e+00 1.129487174284200742e-04
2.993261366187638487e+03 1.000477111165504418e+00 1.000954222331008836e+00 1.129487174284200742e-04
2.993281798257943592e+03 1.000696048171523467e+00 1.001392096343046934e+00 1.129487174284200742e-04
2.993302230428249459e+03 1.000542660076628732e+00 1.001085320153257463e+00 1.129487174284200742e-04
2.993322662397615204e+03 1.000473682670318665e+00 1.000947365340637329e+00 1.129487174284200742e-04
2.993343094466988987e+03 1.000672133208813097e+00 1.001344266417626194e+00 1.129487174284200742e-04
2.993363526635432208e+03 1.000944771730877481e+00 1.001889543461754961e+00 1.129487174284200742e-04
2.993383958703401731e+03 1.000808203375753491e+00 1.001616406751506982e+00 1.129487174284200742e-04
2.993424822838424006e+03 1.001342750903932988e+00 1.002685501807865975e+00 1.129487174284200742e-04
2.993445254904996546e+03 1.001269085374337120e+00 1.002538170748674240e+00 1.129487174284200742e-04
2.993465686871109938e+03 1.001250998660488944e+00 1.002501997320977889e+00 1.129487174284200742e-04
2.993486119036759192e+03 1.001155587996374940e+00 1.002311175992749881e+00 1.129487174284200742e-04
2.993506551101934747e+03 1.001090110900151320e+00 1.002180221800302640e+00 1.129487174284200742e-04
2.993526983066651155e+03 1.001028664405067659e+00 1.002057328810135317e+00 1.129487174284200742e-04
