# BJD-2454833, Flux, Error
2.992015008845039119e+03 9.777949067835201014e-01 1.129487174284200742e-04
2.992035441046071355e+03 9.766897654907390480e-01 1.129487174284200742e-04
2.992055873046178021e+03 9.752874243225038153e-01 1.129487174284200742e-04
2.992076305146285449e+03 9.740924220020554802e-01 1.129487174284200742e-04
2.992096737345920701e+03 9.731154693417208845e-01 1.129487174284200742e-04
2.992117169344630383e+03 9.722596882279426200e-01 1.129487174284200742e-04
2.992137601442875166e+03 9.715175513261424811e-01 1.129487174284200742e-04
2.992158033641113434e+03 9.714173163396336852e-01 1.129487174284200742e-04
2.992178465738426894e+03 9.708029590939905029e-01 1.129487174284200742e-04
2.992198897735273931e+03 9.701866988634992861e-01 1.129487174284200742e-04
2.992219329931649554e+03 9.695850261251277580e-01 1.129487174284200742e-04
2.992239762027566030e+03 9.694078033403751293e-01 1.129487174284200742e-04
2.992260194023016084e+03 9.692355829969381276e-01 1.129487174284200742e-04
2.992280626217994723e+03 9.695855635629864189e-01 1.129487174284200742e-04
2.992301058312048553e+03 9.699472050874584639e-01 1.129487174284200742e-04
2.992321490306101623e+03 9.704235128011985401e-01 1.129487174284200742e-04
2.992341922499683278e+03 9.705541751991239030e-01 1.129487174284200742e-04
2.992362354592340125e+03 9.708956330769632492e-01 1.129487174284200742e-04
2.992382786584996211e+03 9.715882279736496319e-01 1.129487174284200742e-04
2.992403218776715221e+03 9.724944624349483036e-01 1.129487174284200742e-04
2.992423650767974323e+03 9.731738307849177039e-01 1.129487174284200742e-04
2.992444082859234186e+03 9.738286192071272662e-01 1.129487174284200742e-04
2.992464515049556212e+03 9.746201537899507050e-01 1.129487174284200742e-04
2.992484947039418330e+03 9.754597039702391781e-01 1.129487174284200742e-04
2.992505379128815548e+03 9.765689600128580894e-01 1.129487174284200742e-04
2.992525811317740590e+03 9.779807022194023647e-01 1.129487174284200742e-04
2.992546243406206486e+03 9.788465715056706706e-01 1.129487174284200742e-04
2.992566675393740297e+03 9.803539659712056098e-01 1.129487174284200742e-04
2.992587107581268356e+03 9.816774425317682518e-01 1.129487174284200742e-04
2.992607539668337267e+03 9.827509347591762978e-01 1.129487174284200742e-04
2.992627971654474095e+03 9.840237346849219913e-01 1.129487174284200742e-04
2.992648403840605170e+03 9.864133288692520374e-01 1.129487174284200742e-04
2.992668835925811436e+03 9.890157902754180830e-01 1.129487174284200742e-04
2.992689268111018464e+03 9.895071400036762332e-01 1.129487174284200742e-04
2.992709700095285370e+03 9.905928687226566165e-01 1.129487174284200742e-04
2.992730132179094653e+03 9.920760314142391678e-01 1.129487174284200742e-04
2.992750564362439036e+03 9.933706095783505496e-01 1.129487174284200742e-04
2.992770996345774620e+03 9.947157483387374377e-01 1.129487174284200742e-04
2.992791428428186919e+03 9.961578872485883362e-01 1.129487174284200742e-04
2.992811860610134318e+03 9.976817197955990535e-01 1.129487174284200742e-04
2.992832292591607256e+03 9.992667493194894446e-01 1.129487174284200742e-04
2.992852724672156910e+03 1.001244713707633682e+00 1.129487174284200742e-04
